DIRECTORID	NAME	TITLES
nm1917587	Patricia Harris Seeley	The Legend of La Llorona
nm3700912	Christopher Kezelos	The Maker, Zero
nm2908135	Yonah Lewis	The Oxbow Cure, White Lie
nm10267242	Daniel Orkin	The Pedal Movie
nm2119212	João Leitão	The Portuguese Falcon
nm0188899	Harold Crooks	The Price We Pay
nm5320920	Oliver Murray	The Quiet One
nm1490822	Axel Petersén	The Real Estate, Under the Pyramid
nm2107052	Eric Strauss	The Redemption of General Butt Naked
nm0343826	Ulrike Grote	The Runaway, Täterätää - Die Kirche bleibt im Dorf 2
nm8842189	Theo Meow	The Sad Girls of the Mountains
nm15625900	Yehia Hassanein	The Terrorism and the Kebab
nm1097297	Matthew Ryan Hoge	The United States of Leland
nm0372421	Jonathan Heap	The Unwilling
nm1599548	Adam Sobel	The Workers Cup
nm0660341	Lakis Papastathis	Theophilos, Ton kairo ton Ellinon
nm7892898	Yi Ge	Throne of Elves
nm12278958	Spencer Klein	Tokyo Rising
nm1033215	John Paul Tremblay	Trailer Park Boys: Countdown to Liquor Day, Trailer Park Boys: Drunk, High & Unemployed
nm0325935	Steven Goldmann	Trailer Park of Terror
nm2066217	Lizzie Gottlieb	Turn Every Page: The Adventures of Robert Caro and Robert Gottlieb
nm3106254	David Earnhardt	Uncounted: The New Math of American Elections
nm0542499	Santosh Ramdas Manjrekar	Vaastav: The Reality
nm0403577	Andy Hurst	Vampires: The Turning
nm5047848	Chris Peters	Vertigo A.I.
nm0914388	Polly Watkins	Vietnam Nurses
nm0108578	Eric Bricker	Visual Acoustics
nm6886057	Aleksandr Nezlobin	Vypusknoy, Zhenikh
nm2339445	Bx Giongrete	Waltzing Anna
nm3084623	Erik Wernquist	Wanderers
nm0660245	Christopher Papakaliatis	What If..., Worlds Apart
nm7668148	Yichun Wang	What's in the Darkness
nm2254001	Chi-jan Hou	When a Wolf Falls in Love with a Sheep
nm0209435	Daniel de la Vega	White Coffin
nm0437919	Richard Kanter	Wild Riders
nm4052657	Jack Anderson	Wire Cutters
nm4116233	Martin Horský	Women on the Run
nm1390830	Kaspar Munk	You & Me Forever
nm3809830	Price James	You Cannot Kill David Arquette
nm4138958	Antoneta Kastrati	Zana
nm0839008	Zhou Sun	Zhou Yu's Train
nm2101400	Scott Coones	iGirlfriend
nm4727910	Charlotte Quillet	Oru burus
nm0992401	Kris Carr	Queenie in Love
nm1925823	Edmund Entin	Seconds Apart, Sins of Our Youth, The Seeker: The Dark Is Rising
nm2875023	Spencer Folmar	Shooting Heroin
nm1748384	Eva Vik	Sound of Sun
nm9928566	Jodi Scurfield	Speed Kills
nm0640964	Peter O'Fallon	Suicide Kings
nm4702043	Takaomi Ogata	Sunk Into the Womb
nm10165873	Wang Qi	Super Bear
nm1809616	Daric Gates	The Appearing, Trafficked
nm2718617	Peter Baynton	The Boy, the Mole, the Fox and the Horse
nm1060997	Pedro Amorim	The Dognapper
nm0702600	Peyman Ghassemkhani	The Good, the Bad, the Corny
nm11401481	Matt Eskey	The Mojo Manifesto: The Life and Times of Mojo Nixon
nm3316323	Jason Miller	The Past Is a Grotesque Animal
nm0323670	Constantine S. Gochis	The Redeemer: Son of Satan!
nm4054362	Sandra Wollner	The Trouble with Being Born
nm0590667	George Milton	The Truth
nm1889733	Logan Thomas	There's No Such Thing as Vampires
nm1412679	Patrick O'Brien	TransFatty Lives
nm0530981	Georg Maas	Two Lives
nm3443565	Dan Glaser	Valley of Bones
nm3140864	Mercedes Marro	Water Path for a Fish
nm5078435	Dom Lenoir	Winter Ridge
nm1822899	Kier-La Janisse	Woodlands Dark and Days Bewitched: A History of Folk Horror
nm0257775	Anders Engström	
nm1420315	Geir Greni	
nm0244488	Ciro Durán	
nm0563125	Rintarô Mayuzumi	
nm0350666	Péter Gárdos	
nm0003022	Lee Rose	
nm5239642	Magali Serre	
nm3644332	Kenneth Stilson	
nm0730386	Jess Robbins	
nm0869427	Robert Totten	
nm0140646	Marcel Carrière	
nm0185401	Patrick Coyle	
nm3729277	Kyle I. Kelley	
nm0877783	Otis Turner	
nm0335093	Gilles Grangier	
nm0131064	Art Camacho	
nm1114381	Steve Kemsley	
nm0015328	Salim Akil	
nm0732215	Marie-Monique Robin	
nm9498156	Victoria Vincent	
nm0808421	Harry Smith	
nm0522436	Tony Love	
nm1195196	Rauf Kubayev	
nm6481916	Brian Tetsuro Ivie	
nm5210422	Humberto Rosa	
nm0870478	Robert Trachtenberg	
nm0341486	Edward H. Griffith	
nm1519356	Karin Slater	
nm1749019	Erik S. Weigel	
nm8082313	Christoph Younes	
nm5269354	Kenichi Matsuzawa	
nm0812390	Kepa Sojo	
nm3049283	Philippe Molins	
nm0304298	Pierre Gang	
nm5005683	Roberto Albanesi	
nm0784941	Nikolay Serebryakov	
nm4619199	Hidenori Jôhô	
nm0780825	Carl Seaton	
nm0346549	Charles Guggenheim	
nm0946468	Kamil Yarmatov	
nm0169871	Émile Cohl	
nm0047971	Natuk Baytan	
nm1020308	Bing Lin	
nm8257349	Nathan Noyes	
nm6266024	Justin Milton	
nm0867307	Royce Toni	
nm5394825	Eduardo Castrillo	
nm1967971	Geoffrey Jones	
nm0005022	Peter Horton	
nm2638398	Stelios Kouloglou	
nm1768187	Ryûichi Inomata	
nm1092221	Rick McKay	
nm0437480	Osamu Kaneda	
nm1205852	Martin Pitts	
nm1406424	Alex Pucci	
nm0791381	Millicent Shelton	
nm1771435	John Longley	
nm0548592	Gregory J. Markopoulos	
nm1754496	Bill Zebub	
nm2732479	Patrick Meaney	
nm0101140	John Bowey	
nm0003163	Tucker Gates	
nm5246898	Fernando González Gómez	
nm0407778	Eugen Illés	
nm0143007	Guy Casaril	
nm0277378	Colin Finbow	
nm1398960	James Purdum	
nm0400589	Enda Hughes	
nm2113474	Oliver Park	
nm0725586	Ian Rickson	
nm0340037	Leslie Greif	
nm1243056	Jean-Luc Breitenstein	
nm4140515	Jon Beer	
nm0368602	Matthew Hastings	
nm5688994	John K. Ball	
nm0233572	Rob Dorfmann	
nm0385842	Hideshi Hino	
nm1168394	Jesse Warn	
nm0047956	Gennadi Baisak	
nm2024472	Tomoyuki Kurokawa	
nm1312731	Aurora Guerrero	
nm0004608	Kevin Speckmaier	1922, This Boy's Life
nm0289210	Rich Fox	1BR, The Hammer
nm0325858	Mia Goldman	2010: The Year We Make Contact, Body Heat, My Big Fat Greek Wedding, Open Window
nm0940035	Tara Wood	21 Years: Richard Linklater, Eddie, QT8: The First Eight
nm1125275	David Benioff	25th Hour, The Kite Runner
nm2177308	Kearen Pang	29 + 1, Mama's Affair, You Shoot, I Shoot
nm0776650	Michelle Schumacher	3 Geezers!, I'm Not Here
nm5566129	Caitlin Koller	30 Miles from Nowhere
nm0661799	Cheol-su Park	301, 302, Green Chair
nm3176784	Elan Bogarín	306 Hollywood, Big Fan
nm3732631	Colum Eastwood	47 Ronin, Black Medicine
nm0211823	Steven E. de Souza	48 Hrs., Commando, Die Hard, Lara Croft: Tomb Raider - The Cradle of Life
nm4202770	Jeffrey Scott Collins	5 to 7, Let's Be Cops, Poor Greg Drowning, Why Him?
nm5882724	Melody Smith	50 Kisses
nm2011544	Brady Hall	7 Witches
nm0660873	Giulio Paradisi	8½, La Dolce Vita
nm0091840	Steven Bognar	9to5: The Story of A Movement, A Lion in the House, American Factory
nm0449576	Sarah Kernochan	9½ Weeks, Sommersby, Thoth, What Lies Beneath
nm0006867	John Kent Harrison	A Bear Named Winnie, Alexander Graham Bell: The Sound and the Silence, The Courageous Heart of Irena Sendler, You Know My Name
nm0000165	Ron Howard	A Beautiful Mind, Apollo 13, The Shootist
nm0558773	Sean Mathias	A Bridge Too Far, Bent, The Lost Language of Cranes
nm0004056	Andrew Stanton	A Bug's Life, Finding Dory, Finding Nemo, WALL·E
nm3934762	Mike O'Mahony	A Dark Place Inside
nm1270033	David M. Rosenthal	A Single Shot, How It Ends, Janie Jones, No Limit
nm0660266	Rocco Papaleo	A Small Southern Enterprise, Basilicata Coast to Coast
nm0601698	Owen Moore	A Star Is Born
nm5151022	Genevieve Adams	A Walk Among the Tombstones, How to Be Single, Money Monster, The Skeleton Twins
nm0299621	Max Färberböck	A Woman in Berlin, Aimee & Jaguar
nm3455772	Devin J. Dilmore	Adam 2.0
nm0157024	Andrew Chiaramonte	Adam's Package, Manic
nm11731284	Alyona Oleynik	Adventure Exhibit
nm0122483	Paul Burnford	Adventures of Rusty
nm1583413	Yasuaki Nakajima	After the Apocalypse, Company K, The Host
nm3052903	Alison Klayman	Ai Weiwei: Never Sorry, The Brink, White Hot: The Rise & Fall of Abercrombie & Fitch
nm0838843	Slim Summerville	All Quiet on the Western Front, Captain January
nm4870743	Dave Mossop	All.I.Can.
nm10359819	Emiliano Sette	Anacronte
nm1318578	Tannishtha Chatterjee	Anna Karenina, Brick Lane, Parched, Roam Rome Mein
nm0307497	Alex Garland	Annihilation, Ex Machina, Men
nm0129555	Gianluigi Calderone	Appassionata, Love Under the Elms
nm0506613	Shawn Levy	Arrival, Free Guy, The Adam Project
nm2021106	Ted Giffords	Atlantic: The Wildest Ocean on Earth, Blue Planet II, One Life
nm1702145	Dave Wilson	Avengers: Age of Ultron, Bloodshot
nm4900086	Andres Kõpper	Bad Hair Friday
nm11593800	Cho Kyung-hun	Beauty Water
nm1460195	Ruckus Skye	Becky, The Devil to Pay
nm4104486	Sam Milman	Bigfoot Famous, Laid in America, Seven Psychopaths
nm2738141	Tomm Jacobsen	Bigfoot Famous, Dude Bro Party Massacre III
nm0007477	Paul Aaron	Bill & Ted's Bogus Journey, Maxie, The Octagon
nm0709480	Patrick Rand	Bill & Ted's Excellent Adventure, Grosse Pointe Blank, Metro, The Three Musketeers
nm0003328	Peter Foldy	Black Widow, Mission: Impossible - Ghost Protocol, Spy
nm0054697	Ike Barinholtz	Blockers, Disaster Movie, Neighbors, Suicide Squad
nm0001403	Neil Jordan	Breakfast on Pluto, Greta, Michael Collins, The Crying Game
nm3268500	Curt Wiser	Cam-Girl
nm6497799	Paul Nicholas	Chained Heat, Luckytown, The Naked Cage
nm2702085	Rafael Valdeavellano	Chicago Boys
nm0505118	Gary Leva	Clint Eastwood: A Cinematic Legacy, Fog City Mavericks
nm3582559	Jason Matthews	Costa Rican Summer
nm1353543	Adam Sherman	Crazy Eyes, Happiness Runs, This Game's Called Murder, Wristcutters: A Love Story
nm9740205	Robert Icke	Hamlet
nm0870979	Richard Trank	I Have Never Forgotten You: The Life & Legacy of Simon Wiesenthal, The Long Way Home, Winston Churchill: Walking with Destiny
nm1059618	Didier Tronchet	Le nouveau Jean-Claude, Moi César, 10 ans 1/2, 1m39
nm7584497	Zac Farley	Like Cattle Towards Glow, Permanent Green Light
nm2528690	Sara Colangelo	Little Accidents, The Kindergarten Teacher
nm0776114	Tom Schulman	8 Heads in a Duffel Bag, Dead Poets Society, What About Bob?
nm2739941	Nick Leisure	A Clear Shot, Last the Night, One and the Same
nm15593407	Park Young-Sik	A Dirty Carnival, A Frozen Flower, A Muse
nm1503403	Shane Carruth	A Ghost Story, Primer, The Divergent Series: Allegiant, Upstream Color
nm0276899	Daniel Filho	A Partilha
nm1345081	Michael Koch	A Piece of Sky
nm9783168	Ioseb 'Soso' Bliadze	A Room of My Own
nm0386351	Sebastián Hiriart	A Stone's Throw Away
nm1027986	Julian Barratt	ABCs of Death 2, Mindhorn
nm1856678	Richard Boddington	Against the Wild, Against the Wild 2: Survive the Serengeti, The Dogfather
nm3033662	Nicolas Pariser	Alice and the Mayor, Le grand jeu, The Green Perfume
nm0378408	Cecil M. Hepworth	Alice in Wonderland, How It Feels to Be Run Over, Rescued by Rover
nm0779524	Luke Scott	Alien: Covenant, Morgan, The Martian
nm0575361	Nancy Meckler	Alive and Kicking, Sister My Sister
nm0443411	Tony Kaye	American History X, Lake of Fire
nm4064532	Liam Le Guillou	An Unknown Compelling Force, Painless
nm0177555	Tony Cookson	And You Thought Your Parents Were Weird
nm12159100	Alexx Media	Andrew Schulz: Infamous
nm6644216	Steve Jones	Andy Irons: Kissed by God
nm0635733	Linduarte Noronha	Aruanda
nm1062080	Saket Chaudhary	Asoka, Hindi Medium, Pyaar Ke Side Effects, Shaadi Ke Side Effects
nm0231319	Arielle Dombasle	Asterix and Obelix vs. Caesar, Pauline at the Beach
nm0821552	Ludmil Staikov	Aszparuh
nm5890320	Jessica Kitrick	Atop the Fourth Wall: The Movie
nm0784704	Rodrigo Sepúlveda Urzúa	Aurora, My Tender Matador
nm1778124	Ali Atay	Ayla: The Daughter of War, Mortal World, Thou Gild'st the Even
nm0681401	Luc Picard	Babine, February 15, 1839
nm6027140	Mark Grentell	Backyard Ashes, The Merger
nm0832573	Howard Storm	Bananas, Everything You Always Wanted to Know About Sex * But Were Afraid to Ask, Take the Money and Run, Valentine's Day
nm0136585	Alberto Cardone	Barbarella, Ben-Hur
nm0120268	Aydin Bulut	Baska Semtin Çocuklari
nm0456426	Sakari Kirjavainen	Battle for Finland, Silence
nm0010653	Kasia Adamik	Battlefield Earth, Spoor
nm4457069	Gillian Taylor	Bear Witness
nm0065139	George Beck	Behave Yourself!, Hired Wife
nm0874096	Fernando Trueba	Belle Epoque, Chico & Rita, Twisted Obsession
nm4458549	Jay Bulger	Beware of Mr. Baker, CounterPunch, Stand Up Guys, The Wannabe
nm0464115	Eran Kolirin	Beyond the Mountains and Hills, Hahithalfut, The Band's Visit
nm4423037	Blu	Big Bang Big Boom
nm4180240	Alberto Vázquez	Birdboy, Birdboy: The Forgotten Children, Unicorn Wars
nm2390708	Jean-Christophe Klotz	Black Out, Filmmakers for the Prosecution
nm0917992	Paul Weiland	Blackadder Back & Forth, Leonard Part 6, Made of Honor
nm4122022	Marc Oberdorfer	Blackhat, Mossad, My Lucky Star
nm0576509	Alan Mehrez	Bloodsport 2, Bloodsport: The Dark Kumite
nm2342722	Masaki Tachibana	Blue Thermal, Evangelion: 2.0 You Can (Not) Advance
nm4382541	Geoffrey Orthwein	Bokeh
nm1618296	Michael Stasko	Boys vs. Girls, The Bird Men, Things to Do
nm0000464	Jim Jarmusch	Broken Flowers, Only Lovers Left Alive, Paterson, Stranger Than Paradise
nm1135838	Jeferson De	Bróder, M-8
nm0492040	Ginette Lavigne	Buenaventura Durruti, anarquista
nm0660860	James Paradise	Buffy the Vampire Slayer, Champagne and Bullets, Congo, Sleepaway Camp
nm1290869	Anne Alvergue	Bully. Coward. Victim. The Story of Roy Cohn, Love, Gilda, The Martha Mitchell Effect
nm6120217	Mike Gan	Burn
nm1313126	Benjamin Johnson	CSNY/Déjà Vu, Greendale
nm0664607	Goran Paskaljevic	Cabaret Balkan, Kad svane dan
nm0161621	Jaime Chávarri	Camarón
nm4050491	Peter Hutchings	Can You Keep a Secret?, The Hating Game, Then Came You
nm0002199	Hector Babenco	Carandiru, Lucio Flavio, Pixote
nm0293193	James L. Freedman	Carl Laemmle, Tough Enough
nm1592495	Emily Harris	Carmilla
nm0682126	Matt Piedmont	Casa de mi Padre, The Spoils of Babylon
nm0848234	Richard Talmadge	Casino Royale
nm2355502	Timothy Jolley	Celebrity: Dominick Dunne
nm5960994	Matthew Pye	Concrete_Savanna
nm5992050	Alex Chung	Contracts
nm2675885	Ai Weiwei	Coronation, Human Flow
nm4007518	Ashley Eakin	Crazy Rich Asians, Forgive Us Our Trespasses
nm3541432	Juel Taylor	Creed II, Space Jam: A New Legacy, They Cloned Tyrone
nm0001243	William Friedkin	Cruising, The Exorcist, The French Connection, To Live and Die in L.A.
nm0563814	John McKay	Crush
nm2280232	Michael Watchulonis	Cryptopia: Bitcoin, Blockchains and the Future of the Internet
nm0502069	Terry Lennon	Daffy Duck's Quackbusters, The Lord of the Rings
nm0658585	Matt Palmieri	Darfur Now, Martha Marcy May Marlene, Simon Killer, The Last Face
nm0558547	Gary Matheson	Dark City, Hotel de Love, The Wiggles: Wiggly Safari
nm1760751	François Descraques	Dark Stories, The Visitor from the Future
nm0288144	Alastair Fothergill	David Attenborough: A Life on Our Planet, Planet Earth, The Blue Planet
nm2123121	Hiroshi Shinagawa	Deadman Inferno
nm3687413	Craig Atkinson	Detropia, Do Not Resist, Freakonomics
nm1562754	Anna Kurbatova	Dopolnitelnyy urok, The Soul Conductor
nm0401195	Koan Hui	Double Team, Time and Tide, Who Am I?
nm1190886	Colin Rothbart	Dressed as a Girl
nm1360561	Gardner Post	EBN: Commercial Entertainment Product
nm0000860	Paul Bartel	Eating Raoul, Piranha, Scenes from the Class Struggle in Beverly Hills, The Usual Suspects
nm0510731	Doug Liman	Edge of Tomorrow, Fair Game, Swingers
nm8868024	Kamil Krawczycki	Elephant
nm1452752	Claire Carré	Embers
nm0930131	Bob Williams	Enemy Mine, Surrogates, The Great Wall, The Terminator
nm0842830	Michael Switzer	Fallen Angel
nm0067101	Keith Behrman	Flower & Garnet, Giant Little Ones
nm7885289	Jordan Brown	Forget Shorter Showers, Stare Into the Lights My Pretties
nm0499722	Maurice Lehmann	Fric-Frac
nm0761762	Helma Sanders-Brahms	Germany Pale Mother, Heinrich, No Mercy, No Future
nm2174264	Jason Raftopoulos	Ghost Rider, West of Sunshine
nm11776943	Sarah Fournier	God Bless America: Evangelical Christians in the USA
nm3543330	David Sabbath	God Don't Make the Laws
nm0218934	Daniel Dencik	Gold Coast, The Expedition to the End of the World
nm0947669	Konstantin Ershov	Grachi, Viy
nm1329317	Matthew Killip	Hamlet, John Was Trying to Contact Aliens
nm1636712	Liberio Pensuti	Il dottor Churkill
nm2856019	Jonathan Ehlers	Ink & Steel
nm5699955	Jesse Mast	Kid West
nm1295507	Mariusz Wilczynski	Kill It and Leave This Town, Kizi mizi
nm0141139	Héctor Carré	La promesa
nm3760083	Andrew Gaynord	All My Friends Hate Me
nm4914525	Anton Zenkovich	American Heist, Deadly Still, Mafia: Game of Survival
nm2830769	Bridget Caldwell	Angels in America: Part I - Millennium Approaches
nm0594746	Anne-Marie Miéville	Après la réconciliation
nm2035216	Alexandre Courtès	Asylum Blackout, Sink or Swim, The Players
nm0098400	Rick Bota	Barb Wire, Kiss the Girls, Lethal Weapon 4
nm0614222	Doug Murphy	Batman: Mask of the Phantasm
nm4860365	Cristóbal León	Beau Is Afraid, Los Huesos, The Wolf House
nm7522225	Vahid Jalilvand	Beyond the Wall, No Date, No Signature
nm1804614	Ali Abbas Zafar	Bharat, Bloody Daddy, Sultan, Tiger Zinda Hai
nm3184434	Mikhail Red	Birdshot, Deleter
nm0002384	Samuel Vartek	Blue Gold: World Water Wars
nm0379179	Mark Herman	Brassed Off, Little Voice, Purely Belter, The Boy in the Striped Pajamas
nm1637798	Carl Lindbergh	Bunnyman, Shadows of the Dead
nm0136001	Éric Caravaca	C'est quoi la vie?, Chicken with Plums, Plot 35
nm0664257	Gabriel Pascal	Caesar and Cleopatra, Major Barbara, Pygmalion
nm0053230	Luca Barbareschi	Cannibal Holocaust, The International, The Mercury Conspiracy
nm0811714	Michele Soavi	Cemetery Man, StageFright, The Brothers Grimm, The Goodbye Kiss
nm1781063	Joseph Wartnerchaney	Charlie's Angels: Full Throttle, Decay, The Italian Job
nm3966897	Joe Eddy	Chasing Bullitt
nm4743469	Assaad Yacoub	Cherry Pop
nm1127368	Guido Santi	Chris & Don: A Love Story, Monk with a Camera
nm1142516	Toby Reisz	Chéri, Tamara Drewe
nm15160878	Canada	Circus Maximus
nm0887700	Timothy Van Patten	Class of 1984, The Pacific
nm0044374	Pablo Azorin	Cloud Atlas, El hombre más peligroso de Europa. Otto Skorzeny en España
nm1345039	Patrick Carpentier	Combat, Loft
nm0355527	Drew Hall	Convergence, Sons of Liberty
nm2216739	Nicolas Silhol	Corporate, The Dazzled
nm0765856	Peter Sasdy	Countess Dracula, The Lonely Lady, Welcome to Blood City
nm0872134	Barbara Trent	Cover Up: Behind the Iran Contra Affair, The Panama Deception
nm3902574	Douglas Myers	Cowboys Vs. Vampires
nm0454175	John Kincade	Cronos
nm0801899	Bennett Singer	Cured
nm1899433	Gregg Holtgrewe	Dawning
nm0750275	Björn Runge	Daybreak, Mun mot mun, The Wife
nm5907970	Jason Pagnoni	Days of Power
nm0027044	Kurt Anderson	Dead Cold, Devil in the Flesh, One Man's Justice
nm0081023	James Bickert	Dear God No!, Frankenstein Created Bikers, Thunder Force
nm5231737	Brandon Perras-Sanchez	Death Drop Gorgeous, The Spine of Night
nm8061816	Fer García-Ruiz	Descarrilados
nm8052572	Andrés Goteira	Dhogs
nm0792202	Kirsten Sheridan	Disco Pigs, In America, My Left Foot
nm0705764	Alfréd Radok	Distant Journey
nm2074421	Steve Berg	Don't Worry Darling, Dr. Horrible's Sing-Along Blog, Skinwalker Ranch, Tag
nm0345685	Gunnar B. Gudmundsson	Dorks & Damsels
nm1768177	Zak Forsman	Down and Dangerous
nm1963851	Pyotr Tochilin	Dublyor, Khottabych
nm7704616	Prateek Vats	Eeb Allay Ooo!
nm0065404	Edith Becker	Empire of Dreams: The Story of the 'Star Wars' Trilogy
nm0865421	Pyotr Todorovskiy	Encore, Once More Encore!, Intergirl, Wartime Romance
nm4227690	Cho Owen	Enemy at the Dead End, The Magician, The Soul-Mate
nm0380415	Gloria La Morte	Entre nos, Washington Heights
nm6264294	Gisela Chicolino	Entre ríos: todo lo que no dijimos
nm0611652	Edoardo Mulargia	Escape from Hell, Shango
nm0001378	Anjelica Huston	Ever After: A Cinderella Story, Prizzi's Honor, The Grifters, The Witches
nm1118463	Jason Todd Ipson	Everybody Wants to Be Italian
nm1778918	Awanui Simich-Pene	Evil Dead Rise, Waru
nm2994265	Ben Wallis	Expedition China
nm4528126	Albert Dabah	Extra Innings
nm4155547	The Vicious Brothers	Extraterrestrial, Grave Encounters, Grave Encounters 2
nm6487704	Alexander Shebanow	Fail State
nm5244876	J.J. Englert	Faith, Hope & Love
nm0417837	Emil Jannings	Faust, The Blue Angel, The Last Command, The Last Laugh
nm1333375	Marie Caillou	Fear(s) of the Dark
nm3431151	Rob Hawk	Fight Valley
nm4287208	You-Jeong Jang	Finding Mr. Destiny, Honest Candidate 2
nm3937525	Daniel Miller	Fire in the Heartland: Kent State, May 4, and Student Protest in America (2020)
nm0996696	Matthew Currie Holmes	Firewall, The Curse of Buckout Road
nm0175365	Tom Connolly	Five Seconds to Spare
nm0778993	Cynthia Scott	Flamenco at 5:15, Strangers in Good Company
nm0426510	Aaron Kim Johnston	For the Moment, The Arrow
nm3839368	William Douglas McMaster	Forest Man
nm0841326	Antonin Svoboda	Forever Never Anywhere, The Edukators, Toni Erdmann
nm3033420	Sarah Smick	Friended to Death, Rainbow Time, Unlovable
nm2382702	Reynir Lyngdal	Frost
nm0321112	Marcel Gisler	Fögi Is a Bastard, Mario, Rosie
nm3196343	Emud Mokhberi	G-Force, Oktapodi
nm5943474	Amoghavarsha	Gandhada Gudi, Wild Karnataka
nm8709840	Florian Babikian	Garden Party, Maestro
nm1531700	Aleksey German Jr.	Garpastum, Paper Soldier, Under Electric Clouds
nm0881759	Rocco Urbisci	George Carlin: Jammin' in New York, George Carlin: Playin' with Your Head
nm2846800	Brendan Mertens	Ghostheads
nm4704895	Alessandro Comodin	Gigi la legge
nm0485897	Rocky Lang	Girl Fight, Nervous Ticks, White Squall
nm2200935	Shane King	Girls Rock!
nm1416001	Kyran Kelly	Gnomeo & Juliet
nm2308220	Todd Wider	God Knows Where I Am, Mea Maxima Culpa: Silence in the House of God, Taxi to the Dark Side
nm11038269	Viljar Bøe	Good Boy
nm1541136	Alex Rudzinski	Grease Live!, Jesus Christ Superstar Live in Concert
nm7461590	Bjorn Tagemose	Gutterdammerung
nm1226081	Ryan Turek	Halloween, Insidious: The Red Door, The Black Phone
nm1111796	Canyon Prince	Hard Sun, The Final Level: Escaping Rancala
nm1748780	Darya Charusha	Hardcore Henry, Nobody
nm3082355	Jane Magnusson	Hasse & Tage - En kärlekshistoria
nm3176035	Zelda Adams	Hellbender
nm1000499	Serge Bromberg	Henri-Georges Clouzot's Inferno, The Extraordinary Voyage
nm1358030	Jean-Christophe Lie	Hercules, Tarzan, The Triplets of Belleville
nm0809372	Mike Smith	Highlander, Spies in Disguise, Tank Girl, The Boxtrolls
nm2438706	Guy Smith	Hitler's Circle of Evil
nm1541262	Mihály Schwechtje	Hope You Die Next Time:-)
nm0940064	Victoria Wood	Housewife, 49
nm0377422	Rupert Henning	How I Taught Myself to Be a Child, North Face
nm1898286	Luke Eve	I Met a Girl
nm3273860	Eli Shapiro	Ike Interviews God, They Came Together
nm0508626	Torun Lian	Ikke naken, Only Clouds Move the Stars
nm1860617	Gustav Hofer	Improvvisamente l'inverno scorso, Italy: Love It, or Leave It
nm7289161	Joshua Giuliano	In Sound, We Live Forever
nm3002871	Jamie E. Lochhead	Inside Einstein's Mind: The Enigma of Space and Time
nm10508116	Mark Thacker	It's a Hard Truth Ain't It
nm0304644	Peter Gantzler	Italian for Beginners, The Last Kingdom: Seven Kings Must Die
nm3491871	Kees van Nieuwkerk	Ja, ik wil!
nm2583101	Prosit Roy	Jaane Tu... Ya Jaane Na, Pari
nm1114031	Mike Gasaway	Jimmy Neutron: Boy Genius
nm0506746	Piotr J. Lewandowski	Jonathan
nm0867719	Tom Topor	Judgment, Nuts, The Accused
nm3521753	Sandrine Brodeur-Desrosiers	Just Me and You
nm0688585	Jean-Marie Poiré	Just Visiting, Operation Corned Beef, The Visitors, The Visitors II: The Corridors of Time
nm0161093	Yuriy Chulyukin	Kak stat schastlivym, The Girls
nm9448420	E.E. Hegarty	Kat and the Band
nm1124616	Joseph E. Merideth	Klaus, ParaNorman, Stubble Trouble, The Boxtrolls
nm3576676	Boris Grachevskiy	Krysha
nm4038812	Alessandro Melazzini	La Cicciolina. Godmother of Scandal
nm2190523	Andrés García Franco	La Historia Negra del Cine Mexicano
nm0028112	Pierros Andrakakos	Lara Croft: Tomb Raider - The Cradle of Life
nm0224331	Andrea Di Stefano	Last Night of Amore, Life of Pi, Nine, The Informer
nm0804353	Graham Skipper	Late Bloomers, Sequence Break
nm1806027	Felipe Braga	Latitudes, Marighella
nm1066197	Robert Oppel	Lawless, The Reader, The Wrestler
nm0173354	Coluche	Le bon roi Dagobert, Le maître d'école, So Long, Stooge, Vous n'aurez pas l'Alsace et la Lorraine
nm0081661	Jean-Claude Biette	Le champignon des Carpathes
nm0042159	Jean Aurel	Le trou
nm2303069	Mikael Buch	Let My People Go!
nm0204466	DeMane Davis	Lift
nm1239485	Philipp Karner	Like You Mean It, The Morning After
nm0532723	Alejandro Maci	Los que aman odian
nm5608371	Tyler Michael James	Low Life
nm8953987	Joon-Sung Kim	Lucid Dream
nm6849061	Tilman Singer	Luz
nm0860565	Palmer Thompson	Make Like a Thief
nm0080278	Vijay K. Bhaskar	Malliswari, Nuvvu Naaku Nachchav
nm1618194	Mike Woolf	Man on a Mission: Richard Garriott's Road to the Stars
nm0618034	Francisco Múgica	Margarita, Armando y su padre
nm0550071	Laïla Marrakchi	Marock, Rock the Casbah
nm0543619	Guy Manos	Cliffhanger, Eraser, Last Action Hero, Virus
nm0450975	Konstantin Khabenskiy	Day Watch, Night Watch, Wanted
nm0004997	Melissa Joan Hart	Drive Me Crazy, God's Not Dead 2
nm2555201	Jonathan Silvers	Elusive Justice: The Search for Nazi War Criminals
nm1166973	Damian Pettigrew	Fellini: I'm a Born Liar
nm3204291	Bradford Thomason	GLOW: The Story of the Gorgeous Ladies of Wrestling, Jasper Mall
nm1189743	Carolina Jabor	Good Luck, Liquid Truth
nm0890086	Max Varnel	Hell Below Zero
nm0316139	Tom Gianas	Hell and Back
nm0452045	Marlen Khutsiev	I Am Twenty, Infinity, July Rain
nm0789651	Chris Shaw	I Sell the Dead, Split
nm5294992	Ally Pankiw	I Used to Be Funny
nm0791488	Patrick Shen	In Pursuit of Silence
