WRITERID	NAME	TITLES
nm0338399	Walton Green	Corsair
nm0005815	Sven Nykvist	Cries & Whispers, Fanny and Alexander, The Sacrifice, The Unbearable Lightness of Being
nm3205840	Bryan Ferriter	Crimson Winter, Wuthering Heights
nm4142775	Ahsen Nadeem	Crows Are White
nm0635565	Marc Norman	Cutthroat Island, Shakespeare in Love
nm0063953	James Goldman	Cyber Bandits, Robin and Marian, The Lion in Winter
nm0309116	Jacek Gasiorowski	Czas surferów
nm0842697	Howard Swindle	D-Tox
nm2214893	Melisa Wallack	Dallas Buyers Club, Meet Bill, Mirror Mirror
nm0204499	Donald Davis	Damaged Lives, One Dangerous Night, The Good Earth
nm2022286	Sandow Birk	Dante's Inferno
nm0699487	Stanislawa Przybyszewska	Danton
nm1151780	Suzi Yoonessi	Daphne & Velma, Dear Lemon Lima, Me and You and Everyone We Know, Unlovable
nm0222664	Scott Devine	Dark Blue, Shark Attack, Shark Attack 2, Shark Attack 3: Megalodon
nm1371301	Guillaume Lubrano	Dark Stories
nm1002012	Rich Tabach	Dater's Handbook
nm3681385	Jordan F. Ghanma	Dead End
nm7021026	Jake Minor	Dead Man's Hand
nm0005531	Donnie Wahlberg	Dead Silence, Dreamcatcher, Ransom, Saw II
nm0724972	Salvatore Richichi	Death Row Diner, Hollywood Chainsaw Hookers
nm0097442	Umberto Borsato	Death Steps in the Dark, Lady Frankenstein
nm0169438	Howard R. Cohen	Deathstalker IV: Match of Titans, Saturday the 14th
nm0837877	Boleslaw Sulik	Deep End
nm2356415	Akshat Verma	Delhi Belly
nm0706788	Amrit Rai	Deliverance
nm0435932	Oliver Kalkofe	Der Wixxer, The Vexxer
nm0545455	William Marchant	Desk Set, Triple Cross
nm3178106	Frederick Cipoletti	Desolate, Pocket Listing, Reaper
nm7648417	Matt Anderson	Desolation
nm0155528	Yarrow Cheney	Despicable Me, Despicable Me 2, The Grinch, The Lorax
nm1953597	Stephen Twardokus	Devil's Path
nm0265596	Lyn Fairhurst	Devils of Darkness
nm7176689	Vedish Jhaveri	Dharam Sankat Mein
nm0577333	Kenneth Melamed	Digital Man
nm0128365	David Caesar	Dirty Deeds, Idiot Box
nm0060792	Colin Bateman	Divorcing Jack, Driven
nm1146901	Patrick Zocco	Do Me Love
nm0330069	Carolyn Purdy-Gordon	Dolls, Fortress, From Beyond, Re-Animator
nm0129997	Claudio Caligari	Don't Be Bad, The Scent of the Night, Toxic Love
nm10478366	Nicholas Meyers	Dosed
nm1053819	Russell Parker	Dream City
nm1229681	Da'Vone McDonald	Drillbit Taylor, Forgetting Sarah Marshall, Get Him to the Greek, Walk of Shame
nm0679951	Michael Philip	Drop Dead Sexy, Puppy Love
nm3712861	Pia Hart	Dschungelkind
nm0436095	Bert Kalmar	Duck Soup, Patch Adams, Sleepless in Seattle, Whatever Works
nm2376172	Carlo Tritto	Duck, You Sucker!
nm6761554	Laurent Moing	Duo, The Breadwinner, The Summit of the Gods
nm1064755	Mats Berglund	Dykaren
nm0437596	Jeff Kanew	Eddie Macon's Run, Natural Enemies, Ordinary People, Revenge of the Nerds
nm0915725	Michael Wearing	Edge of Darkness, Edge of Darkness, Human Traffic
nm0471595	Charles K. Pitts	Edge of Madness, Gunless, The Resurrected
nm0532296	Leueen MacGrath	Edward, My Son, Pygmalion
nm0504594	Iris Letans	Emmanuelle IV
nm0619599	Chris Nahon	Empire of the Wolves, Kiss of the Dragon, Lady Bloodfight
nm0222150	Prabhu Deva	Enthiran, Lakshya, Rowdy Rathore, Wanted
nm1091767	Akihiko Yamashita	Evangelion: 2.0 You Can (Not) Advance, Tales from Earthsea, The Boy and the Heron, The Cat Returns
nm2025391	Astra Taylor	Examined Life, What Is Democracy?, Zizek!
nm0962157	Javier Cárdenas	FBI: Frikis buscan incordiar
nm0699071	Anne Provoost	Falling
nm6299961	Brian O'Donnell	Akron
nm1060930	Brandon Trost	An American Pickle, Can You Ever Forgive Me?, The Disaster Artist, This Is the End
nm0637259	Tuva Novotny	Annihilation, Blindsone, Borg vs. McEnroe, Eat Pray Love
nm1597708	John Protass	Antikiller 2: Antiterror, Deep Winter
nm2962942	Nicolas Fructus	Arthur and the Invisibles
nm4494278	Ruthy Pribar	Asia
nm0223960	Richard Di Lello	Bad Boys, Colors
nm1950086	Greta Gerwig	Barbie, Frances Ha, Lady Bird, Mistress America
nm3360818	M. Serkan Turhan	Baska Semtin Çocuklari
nm1060510	Linas Phillips	Bass Ackwards, Manson Family Vacation, Rainbow Time
nm0247253	Lawrence Earl	Battle Hell
nm5243804	Karen Collins	Beep: A Documentary History of Game Sound
nm0009025	Mort Abrahams	Beneath the Planet of the Apes, Planet of the Apes, The Holcroft Covenant
nm3325682	Sergey Sakin	Bigga Than Ben
nm2013599	July Hygreck	Blockbuster, The Queen
nm2873539	Sarah Haskins	Booksmart, Celeste & Jesse Forever, Get Him to the Greek
nm5039000	Abi Damaris Corbin	Breaking
nm1664016	Tom Swanston	Breaking the Bank
nm0669277	Humphrey Pearson	Bright Lights
nm1473091	Steffen Haars	Bro's Before Ho's, New Kids Nitro, New Kids Turbo, Ron Goossens, Low Budget Stuntman
nm0404880	Joe Hyams	Brubaker, The Lost Missile
nm0474487	Lev Kuleshov	By the Law, The Great Consoler
nm0625904	Cristian Nemescu	California Dreamin'
nm0527852	Noémie Lvovsky	Camille Rewinds
nm1014989	David Julian Hirsh	Camp Hollywood, Twist of Fate
nm4472620	Marcus Freudenmann	Cancer is Curable NOW
nm0602358	Víctor Mora	Captain Thunder
nm0051738	Baccio Bandini	Catch-22, The Savage Innocents
nm0344088	Phil Groves	Cavegirl, The Beach Girls
nm0285071	Guilherme Fontes	Chatô - The King of Brazil
nm0425924	Owen Johnson	Children of Divorce
nm1417409	Woon-hak Baek	Chronicles of Evil, Tube
nm2932166	Brian Nagel	ClownTown, The Toybox
nm1712417	Lucas Roche	Cockneys vs Zombies, Dead Man's Shoes
nm5170681	Kele McGlohon	Coming Home for Christmas, The Bouquet
nm0005610	James Steven Sadwith	Coming Through the Rye
nm0957505	Craig Zobel	Compliance, Great World of Sound, The Hunt, Z for Zachariah
nm0632029	Blair Niles	Condemned!
nm0588305	Eric Miller	Cooties, Taken, The Wall
nm1006273	Michele Serra	Couch Potatoes
nm5080104	Tim Tsiklauri	Crackheads
nm7256256	Fam Udeorji	Creed II, Guava Island
nm5776746	Shawn Lock	Crossing Point
nm1256877	Michael D'Antonio	Crown Heights
nm2337604	Ward Parry	Curtiz, Retribution
nm0722290	Robert Rhine	Cynthia, Exorcism at 60,000 Feet
nm0071636	Bruce Bennett	Dark Passage, Mildred Pierce, Sahara, The Treasure of the Sierra Madre
nm0404128	Jimmy Huston	Dark Sunday, Final Exam, Running Scared, The Wharf Rat
nm0118164	Lothar G. Buchheim	Das Boot
nm1068480	Stefan Eberlein	Das Himmler Projekt
nm0373530	Hans Heesen	De vliegende Hollander, Duska
nm4461903	Steven P. Moysey	Dead Shot
nm3820618	Frida Barkfors	Death of a Child, Pervert Park
nm0094326	Nai Bonet	Devil's Angels, Fairy Tales, Nocturna
nm0127060	Margarete Böhme	Diary of a Lost Girl
nm0497037	Chris Naoki Lee	Dinner Party
nm2938448	Hutch Dano	Disappearance, Ramona and Beezus, Zombeavers
nm0032403	Royce D. Applegate	Doctor Dolittle, Gettysburg, O Brother, Where Art Thou?, Splash
nm1426206	Josefine Tengblad	Dogville, Kiss Me, Manderlay
nm3208230	Rueben Martell	Don't Say Its Name
nm0580101	Kad Merad	Don't Worry, I'm Fine, The Chorus, Welcome to the Sticks
nm1562754	Anna Kurbatova	Dopolnitelnyy urok, The Soul Conductor
nm11081564	Sylvie Mix	Double Walker, Poser
nm0155814	Nalini Cheriel	Down and Out with the Dolls
nm0924149	Graeme Whifler	Dr. Giggles, Neighborhood Watch, Sonny Boy
nm1100105	Eiji Shinba	Dry Lake
nm0554177	Rita Martinson	Eating, Sir! No Sir!, Someone to Love, Tracks
nm2932261	Nils Timm	Echoes
nm0341722	Megan Griffiths	Eden, Lucky Them
nm0103669	Leo Brady	Edge of Doom, Rain for a Dusty Summer
nm1116340	Charles Spano	Embers, IO
nm2236676	Luc Bossi	Empire of the Wolves, Mood Indigo, The Extraordinary Journey of the Fakir, The Prey
nm0026834	Jack Anderson	Encounter with the Unknown
nm0182854	Lanny Cotler	Escape from Suburbia: Beyond the American Dream, The Earthling
nm0604453	Ainsworth Morgan	Espionage, The Gorgeous Hussy
nm0753637	Niklas Rådström	Everlasting Moments
nm0795741	Milton Shulman	Every Home Should Have One
nm3453283	Daniel Kwan	Everything Everywhere All at Once, Swiss Army Man
nm3279855	Mark Bruner	Excision
nm0802631	Antti Sipilä	FC Venus, Häjyt, Producing Adults
nm2696313	Jennifer Isenhart	Fat Fiction
nm6263733	Theo Anthony	All Light, Everywhere, Rat Film, Subject to Review
nm1624973	Michael Knowles	Best Laid Plans, Judy, The List
nm1174527	Mieke de Jong	Brimstone, Lepel, Winter in Wartime
nm0531229	Cal MacAninch	Calibre
nm0931190	Lorraine Williams	Caravans, Women Without Men
nm0345997	Armand Guerra	Carne de fieras
nm1358381	Dyan Sheldon	Confessions of a Teenage Drama Queen
nm7148084	Zhiyong Wang	Crazy Alien, Long Day's Journey Into Night, The Grandmaster
nm0611344	Domonic Muir	Critters, Evil Bong 2: King Bong, High Risk, Hitman
nm0059332	James Bartruff	Death Spa
nm2140186	Rodo Sayagues	Don't Breathe, Don't Breathe 2, Texas Chainsaw Massacre
nm2988944	Eve Marson	Dr. Feelgood: Dealer or Healer?
nm0160729	Dobroslav Chrobak	Dragon's Return
nm1434818	Laura Casabe	El hada buena - Una fábula peronista
nm2187552	Manuel Muñoz Rivas	El mar nos mira de lejos
nm0335096	Jean-Christophe Grangé	Empire of the Wolves, The Crimson Rivers, Vidocq
nm0011376	Steve Adams	Envy, No Stranger Than Love, Waiting for Forever
nm2034575	Pa-Ching Huang	Executioners from Shaolin, Shaolin and Wu Tang, The 36th Chamber of Shaolin, The Eight Diagram Pole Fighter
nm0727369	Gérard Rinaldi	Executive Decision, Jurassic Park, Léon: The Professional, Watchmen
nm1206006	Tine Frellesen	Far til Fire Gi'r Aldrig Op
nm3085823	Florent de La Tullaye	Benda Bilili!
nm2377041	Matthew Kennedy	Father's Day, The Editor, The Void
nm5428483	Brad Desch	Fathers & Daughters
nm0806110	Romain Slocombe	Fear(s) of the Dark
nm0516001	Harold Lloyd	Feet First, Safety Last!, The Freshman, The Sin of Harold Diddlebock
nm0379797	Tibor Hernádi	Felix the Cat: The Movie, The Masters of Time, The Seventh Brother
nm0178589	Brad Copeland	Ferdinand, Spies in Disguise, Wild Hogs
nm0545150	Kelly Marcel	Fifty Shades of Grey, Saving Mr. Banks, Venom
nm0624702	Vince Neil	Fighting with My Family, Friday Night Lights, Hot Tub Time Machine, The Dirt
nm8639635	Denis de Rougemont	Film socialisme
nm0920543	Irvine Welsh	Filth, T2 Trainspotting, Trainspotting
nm6447058	Oz Arshad	Finding Fatimah
nm0464126	Nina Laurio	Fingerpori, Off the Map
nm0298230	Fleming B. Fuller	First Strike, Stranded
nm7293249	Naomi Hiruta	Five Million Dollar Life
nm0936800	Stephen Witkin	Five Star Christmas
nm0090998	Justin Bodle	Flood, The Day of the Triffids
nm0370152	John Hawkins	Floods of Fear
nm0116784	Robert Brutter	Fluke, Nocne graffiti
nm2281884	Jeff Grace	Folk Hero & Funny Guy, The Scenesters
nm0064585	Dan Beaumont	For Those Who Think Young
nm7599095	Mostafa Hamdy	For Zeko
nm13282687	Ahmed Mohamed Salem	For Zeko
nm0490657	Lindy Laub	For the Boys
nm0871730	Richard Tregaskis	Force of Arms, Guadalcanal Diary
nm0039192	Bethany Ashton Wolf	Forever My Girl, Little Chenier
nm0927500	Willard Wiener	Four Boys and a Gun
nm13560806	Serhiy Havrylov	Foxter & Max
nm1522620	Domitilla Calamai	Francesco, La faute à Fidel!
nm1214240	Philipp Virus	Freakscene: The Story of Dinosaur Jr., The Nightmare
nm0033005	Vicente Aranda	Freedomfighters, Lovers: A True Story, The Maidens' Conspiracy
nm0914536	Carol Watson	Friday the 13th: Part 3, Friday the 13th: The Final Chapter, Meatballs Part II
nm0872657	Joseph Triebwasser	Friends and Family
nm0922724	Jennifer Westfeldt	Friends with Kids, Ira & Abby, Kissing Jessica Stein
nm1472140	Xandra Maria Castleton	Full Grown Men
nm0562071	Michael May	Fun Size Horror: Volume One, Ghosts of the Ozarks
nm0018824	Danielle Alexandra	G.I. Jane
nm0851088	Aleksandr Tatarskiy	Gagarin
nm0267513	William Faris	Gang Busters, Guns Don't Argue, Killers from Space
nm14741281	P. Gangadhar	Gang Leader
nm2566466	Robert Hickman	Gates of Darkness, Kickboxer: Vengeance
nm0638175	Claude Nuridsany	Genesis, Microcosmos, The Field of Enchantment
nm3211397	A Shawn Austin	George Lucas in Love, Princess of the Row
nm0920108	Audrey Wells	George of the Jungle, Guinevere, The Hate U Give, Under the Tuscan Sun
nm3133150	Sean Finegan	Getaway, Transit
nm0464136	Andrew Kolker	Getting Back to Abnormal
nm1117726	Equan Choi	Geu-nyeo-neun ye-bbeot-da, Voice
nm1747765	Urmas E. Liiv	Ghost Mountaineer
nm0719320	Kimble Rendall	Ghost Rider, I, Robot, Knowing, The Matrix Reloaded
nm4369296	Nicolas Peduzzi	Ghost Song
nm0436960	John Kamps	Ghost Town, Mighty Morphin Power Rangers, Premium Rush, Zathura: A Space Adventure
nm0628103	Greg Newman	Girl on the Third Floor, Stake Land, The House of the Devil, The Innkeepers
nm0325630	Martha Goldhirsh	Going Shopping, Sibling Rivalry
nm0322045	Barry Glasser	Gold Diggers: The Secret of Bear Mountain
nm1940345	Ziv Berkovich	Golden Voices
nm7007096	Fabrice Virgili	Golden Years
nm0000463	Famke Janssen	GoldenEye, House on Haunted Hill, X-Men, X-Men: The Last Stand
nm0000399	David Fincher	Gone Girl, Seven, The Social Network, Zodiac
nm6950919	Yue Sun	Gone with the Bullets, Hidden Man
nm0693259	Dennis Potter	Gorky Park, Pennies from Heaven
nm0162013	Jerry Ciccoritti	Graveyard Shift, Trudeau
nm0787368	Renée Shafransky	Gray's Anatomy, Swimming to Cambodia, Variety
nm1202716	Vincent Garenq	Guilty, Kalinka, The Clearstream Affair
nm2642243	Simon Eldon-Edington	Gunned Down
nm0265169	William Barby Faherty	Guns for San Sebastian
nm1802378	Mira Thiel	Gut zu Vögeln, Rumspringa
nm0038953	Toyoo Ashida	Guyver: Out of Control, Vampire Hunter D
nm0004980	Kathy Griffin	Hall Pass, Shrek Forever After, The Cable Guy
nm3620830	Dushyant Kumar	Halla Bol, Masaan
nm0135829	James Carabatsos	Hamburger Hill, Heartbreak Ridge, Heroes, No Mercy
nm0689954	Michael Poryes	Hannah Montana: The Movie
nm0877761	Michael Turner	Hard Core Logo
nm1359746	Amy Heidish	Haunted Mansion
nm6768418	Brian Woodman	Head
nm0360810	Gregory Hansen	Heart and Souls
nm0916852	Christopher Webster	Heathers, Hellbound: Hellraiser II, Hellraiser
nm0666388	Ross Patterson	Helen Keller vs. Nightwolves, Range 15, The New Guy
nm6418014	David Villegas	Helena
nm8722569	Juliana Nanti	Helena
nm12030356	Nate Ki	Hell Bank Presents: Running Ghost, My Prince Edward
nm5579237	Patrick Garcia	Hell Trip
nm3176035	Zelda Adams	Hellbender
nm4517196	Amy Reed	Hello, Goodbye and Everything in Between
nm0314788	Vance Gerry	Hercules, The Aristocats, The Great Mouse Detective, The Jungle Book
nm2952284	Ryan J. Condal	Hercules, Rampage
nm5064446	Arka Das	Here Out West, Lion
nm1160106	Cathy Nan Quinlan	Hide and Seek
nm0422791	Neal Jimenez	Hideaway, River's Edge, Sleep with Me, The Waterdance
nm0710852	Joel Rapp	High School Big Shot
nm6039617	Giulia Nahmany	High Strung, Love by Design, The Cleansing Hour
nm0364824	Jed Harris	His Girl Friday, Night People, Operation Mad Ball
nm2438706	Guy Smith	Hitler's Circle of Evil
nm0842944	Hans-Jürgen Syberberg	Hitler: A Film from Germany
nm1569452	Louis Per Bruno	Hitman, Honest Thief
nm0155583	Kam Fu Cheng	Hitman, Top Squad
nm3218790	Oskari Pastila	Hockey Dreams, Spandex Sapiens, Täynnä tarmoa
nm1144337	Louis Sachar	Holes
nm0095601	H. Gordon Boos	Hollywood Homicide, Night of the Comet, Platoon, Tin Cup
nm0193799	Roberta Custer	Homicide
nm2163953	Masahiko Kawahara	Honey & Clover
nm0751406	Regina Russell Banali	Hook, Quiet Riot: Well Now You're Here, There's No Way Back
nm3373941	Romain Basset	Horsehead
nm0024013	Suzana Amaral	Hour of the Star
nm2513894	Claudia Uzzo	How We Got the Italian Movie Business Into Trouble: The True Story of Franco and Ciccio
nm8339656	Leonid Anichkin	How the Cossacks Feasted on a Wedding
nm1093584	Anne Flournoy	How to Be Louise
nm1002270	Ricardo Álvarez Canales	How to Break Up with Your Douchebag
nm13599745	Genrikh Nebolsin	How to Save the Immortal
nm0343646	Gary Grossman	Hugh Hefner: Once Upon a Time
nm1802437	Stephen Amidon	Human Capital, Security, The Leisure Seeker
nm2912703	L.D. Goffigan	Hunger
nm3750916	Marina Kunarova	Hunting the Phantom
nm0089492	Christopher Blue	Hyper Sapien: People from Another Star
nm10642707	Rómeó Pápai	Háromezer számozott darab
nm0000226	Will Smith	I Am Legend, Independence Day, Men in Black
nm2332718	Sigrid Andrea Bernardo	I See You
nm0066836	Jeff Begun	I Spit on Your Grave, Neon City, Red Dawn, The Double
nm0908681	Inez Wallace	I Walked with a Zombie, Ritual
nm2726974	Sass Henno	I Was Here
nm3943954	Matt Cvetic	I Was a Communist for the F.B.I.
nm0741775	Jeb Rosebrook	I Will Fight No More Forever, The Black Hole, The Outsiders
nm0682251	Leonardo Pieraccioni	I laureati, Se son rose, The Cyclone
nm1593803	Edwin K. O'Brien	I'll Name the Murderer
nm4336150	Gerardo Gatica González	I'm No Longer Here, Museo, Tell Me When
nm9993398	Oliviero Del Papa	I, Leonardo
nm8527461	Sahar Quaze	IB 71, Singh Is Bliing
nm6151204	Andrew Guastaferro	Icarus
nm0895168	Tarjei Vesaas	Ice Palace, Zywot Mateusza
nm1636758	O. Bongini	Il dottor Churkill
nm4889857	Lorenzo Garzella	Il mundial dimenticato
nm3659939	Richard Kane	Imber's Left Hand
nm2206574	Nana Ekvtimishvili	In Bloom, My Happy Family
nm2050159	Nancy Sexton	In My Sleep
nm0167316	Jennifer Cluff	In a Savage Land, Kiss or Kill
nm1631572	Joe Ricci	In the Key of Love
nm0660085	Giovanni Paolucci	In the Land of the Cannibals, Terminator II, The Ark of the Sun God
nm6226700	Matthias Kock	Inbetween Worlds
nm2025993	Christopher Soren Kelly	Infinity Chamber, The Frame, The Tangle
nm2195116	Paulo Leite	Inner Ghosts
nm4175299	Zachary Beckler	Interior
nm0612190	Marcia Muller	Into the Badlands
nm11658132	Son Won-Pyeong	Intruder
nm2061225	Ignas Jonynas	Invisible, The Gambler
nm0588430	Gérard Miller	Invitation to a Murder
nm0856198	Italo Terzoli	Io tigro, tu tigri, egli tigra
nm2586877	Raffaello Uboldi	Io, Don Giovanni
nm0264236	Richard Eyre	Iris, Notes on a Scandal, Stage Beauty, The Children Act
nm3101757	Thomas Purifoy	Is Genesis History?
nm1095679	Hernan Cardenas	Island Claws
nm0487351	Claude Lanzmann	Israel, Why, Shoah, Sobibór, October 14, 1943, 4 p.m., The Four Sisters
nm9624378	Ichi Sawamura	It Comes
nm2227985	Thomas den Drijver	J. Kessels
nm1066424	Jared Rivet	Jackals, Jeepers Creepers
nm2928258	Phil Clapp	Jackass: The Movie
nm0517485	John Loftus	Jade, Kojak: The Belarus File
nm0524924	Robert Ludlum	Jason Bourne, The Bourne Identity, The Bourne Legacy, The Bourne Supremacy
nm0516433	Monteiro Lobato	Jeca Tatu
nm16887526	Tsering Norbu	Jinpa
nm0517768	Dimitri Logothetis	Jiu Jitsu, Kickboxer: Retaliation, Kickboxer: Vengeance
nm0350362	Richard Gwyn	John A.: Birth of a Country
nm4654646	Angel Jimenez Jr.	John Dies at the End, Tucker and Dale vs Evil, V/H/S
nm1145655	Shirish Kunder	Joker, Main Hoon Na, Mrs. Serial Killer, Om Shanti Om
nm1138327	Marko Talli	Jope ite, Juice
nm0360694	Bo Hr. Hansen	Journal 64
nm1236148	Rob Harper	Journeys to the Edge of Consciousness
nm0014251	Juhani Aho	Juha
nm2081588	Robert Depuis	Julenissens fall
nm8819780	Pol Rebaque	Julia Is, The Days to Come
nm0550366	Delfeayo Marsalis	Jungle Fever, Ma Rainey's Black Bottom, Rosewood, When We First Met
nm0003204	Ernst Ritter von Theumer	Jungle Warriors, The Big Bust-Out
nm0670530	Béryl Peillard	Just Kids, The Taste of Others
nm0733784	Felipe Rocha	Just Like Our Parents
nm0439934	Marshall Karp	Just Looking
nm0085933	Mark Blackwell	Just My Luck, Max Keeble's Big Move
nm1189346	Gardner Fox	Justice League, The Flash, Zack Snyder's Justice League
nm10138057	Kouhei Azano	K: Missing Kings
nm0584945	Michele	Kamikazen: Ultima notte a Milano, That's Life, To Want to Fly
nm9924848	Sham Prasad	Kantara
nm1581205	Dean Hamer	Kapaemahu, Kumu Hina, Out in the Silence
nm1908699	Hiroshi Masumura	Kenji Miyazawa's Night on the Galactic Railroad
nm1044256	Allison Lee	Kepler X-47
nm3746453	Kevin Bridges	Kevin Bridges: A Whole Different Story
nm3766090	Doug Walker	Kickassia, To Boldly Flee
nm1481222	Steven Greenstreet	Killer at Large, The World's Fastest Indian
nm17073086	J.A. Redmerski	Killing Sarai
nm0187256	James Ashmore Creelman	King Kong, King Kong, The Most Dangerous Game
nm0397170	Bruce Howard	King Kong vs. Godzilla
nm0545730	Max Marcin	King of the Jungle
nm10530846	Chris Eyerman	Kipchoge: The Last Milestone
nm0259678	Annette Ernst	Kiss and Run
nm0008743	Jonathan Aibel	Kung Fu Panda, Kung Fu Panda 2, Kung Fu Panda 3
nm3310186	Whitney Horn	L for Leisure
nm0157324	Marina Chierici	L'isola delle svedesi, The Conjugal Debt, Una ragazza piuttosto complicata
nm0566332	Michael McConnohie	La Femme Nikita, Teenage Mutant Ninja Turtles
nm0797516	Carlo A. Sigon	La cura del gorilla
nm5500389	Julieta Canicoba	La educación prohibida
nm0934631	Martin Winckler	La maladie de Sachs
nm0290542	Francisco Franco	La malcasada, Raza
nm2310700	Romain Choay	La revanche des Crevettes Pailletées, The Shiny Shrimps
nm0163771	Chris Clark	Lady Sings the Blues, Mahogany
nm3323038	Camila Freitas	Landless
nm0804353	Graham Skipper	Late Bloomers, Sequence Break
nm0745199	Thilo Rothkirch	Lauras Stern
nm2165540	Emmanuel Kuster	Le gendre de ma vie, The Mark of the Angels - Miserere
nm1701617	Jeffrey Berman	Legion
nm0478539	Henri de la Falaise	Legong: Dance of the Virgins
nm0537775	Pierre-Jean Maintigneux	Leonor, The Woman in Red Boots
nm0277038	Gérard Filippelli	Les Charlots contre Dracula, Les Charlots en folie: À nous quatre Cardinal!, Les quatre Charlots mousquetaires
nm9113892	Léa Frédeval	Les affamés
nm0670990	Lucio Pellegrini	Let's Mambo!, Ora o mai più, Unlikely Revolutionaries
nm0475676	Oskar Kurganov	Liberation: The Last Assault, Osvobozhdenie: Ognennaya duga
nm0169926	Marya Cohn	Light Sleeper, The Girl in the Book, Vermont Is for Lovers
nm2982186	Alan Glynn	Limitless
nm0835075	Aaron Strongoni	Linsanity
nm2354607	Aleksandr Kasatkin	Listening To The Silence, Moskva, ya lyublyu tebya!, The Daughter
nm0322839	Greg Glienna	Little Fockers, Meet the Parents, Meet the Parents
nm3525798	Jessica Lind	Little Joe, Rubikon
nm0155722	Natalya Chepik	Little Longnose
nm0112552	Harve Brosten	Live in Front of a Studio Audience: Norman Lear's 'All in the Family' and 'The Jeffersons', Shamus, The Anderson Tapes
nm0795806	Wai Shum	Long Arm of the Law, Supercop, Triad Story
nm1686479	Li Li	Long Shot, The Mummy: Tomb of the Dragon Emperor
nm1729412	Stefan Stuckmann	Look Who's Back
nm1901219	Rick Wood	Lord of Darkness, To End All Wars
nm0959774	Jonas Åkerlund	Lords of Chaos, Polar, Spun
nm1248456	Cordula Kablitz-Post	Lou Andreas-Salomé, The Audacity to be Free
nm7531400	Annalisa Daughety	Love Finds You in Charm
nm0140803	Earl Carroll	Love Is News, Murder at the Vanities
nm0362698	Lindsay Hardy	Love Is a Ball, Million Dollar Manhunt, World for Ransom
nm0851113	Catherine Tate	Love and Other Disasters, Starter for 10
nm0329081	Greer Goodman	Lovely & Amazing, The Tao of Steve
nm0788630	Stanley Shapiro	Lover Come Back, Pillow Talk, That Touch of Mink, The Hustle
nm0018136	Goffredo Alessandrini	Luciano Serra, pilota
nm0447620	Lukas Kendall	Lucky Bastard, Sky Fighter
nm4296517	Jon Garcia	Luz, The Falls, The Falls: Testament of Love
nm13086547	Yu. Kazakov	Lyubit...
nm0258127	Eve Ensler	Mad Max: Fury Road
nm0192694	Ève Curie	Madame Curie
nm0093081	Icíar Bollaín	Maixabel, Mataharis, Rosa's Wedding, Take My Eyes
nm6273700	Akshat Ajay Sharma	Major, Radhe Shyam
nm12490993	Aleksandr Kim	Major Grom: Plague Doctor
nm0193541	Walt Curtis	Mala Noche
nm4804371	Chris Wehner	Man Camp
nm0378478	Bobby Herbeck	Mansion of the Doomed, Teenage Mutant Ninja Turtles, Wrongfully Accused
nm0940071	Wally Wood	Mars Attacks!, Weddings and Babies
nm0481296	Lazar Lagin	Masters of Russian Animation - Volume 1, Shpionskie strasti, The Flying Carpet, Zhil-byl Kozyavin
nm0293822	Craig Freimond	Material, Vaya
nm0093472	Jean Bolvary	Max and the Junkmen
nm5160922	Rodrigo Bernardo	Maybe a Love Story
nm0570219	Joan Tewkesbury	McCabe & Mrs. Miller, Nashville, Thieves Like Us
nm1489007	Steen Bille	Melancholia, Over the Edge, We Shall Overcome, Worlds Apart
nm1424619	Richard Crossman	Memory of the Camps
nm0863387	George Tillman Jr.	Men of Honor, Notorious, The Hate U Give, The Inevitable Defeat of Mister & Pete
nm0769761	Bud Schaetzle	Mercenary Fighters
nm0078246	Kenneth J. Berton	Merlin's Shop of Mystical Wonders, The Devil's Gift
nm0622554	Jim Naughton	Michael Jordan: An American Hero
nm8793147	Anna Gronowska	Milosc jest wszystkim
nm5987682	Golden Way Creative Group	Miracles: The Canton Godfather
nm5091631	Jeremy Zag	Miraculous: Ladybug & Cat Noir, the Movie
nm3279017	Karen Brown	Miss Willoughby and the Haunted Bookshop
nm0003160	Christopher McQuarrie	Mission: Impossible - Fallout, The Usual Suspects, Top Gun: Maverick
nm1905310	Jeff Zimbalist	Momentum Generation, Pele: Birth of a Legend
nm0798899	David Silverman	Monsters, Inc., RoboCop 3, The Simpsons Movie
nm4874872	Léonor Serraille	Montparnasse Bienvenüe, Mother and Son
nm0571334	Bernard McKenna	Monty Python's Life of Brian, Yellowbeard
nm1832603	Rui Catalão	Morrer Como Um Homem, O Capacete Dourado, The Face You Deserve
nm0440415	Lawrence Kasanoff	Mortal Kombat, Mortal Kombat: Annihilation, True Lies
nm10176181	Meghvrat Singh Gurjar	Motichoor Chaknachoor
nm7672967	Bartosz Sztybor	Mr. Car and the Knights Templar
nm1404095	Josh Gilbert	Mr. Woodcock
nm6133538	Adrien Walter	Mr. X, a Vision of Leos Carax
nm1185918	Nick Palumbo	Murder-Set-Pieces
nm6437420	Brian Marchetti	My Dad's Christmas Date, York Witches Society
nm1074183	André Bharti	My Ex-Ex
nm1550377	Brad Listermann	My Faraway Bride
nm12989339	Nisson Zeleransky	My Name Is Kozha
nm1503443	David Sampliner	My Own Man
nm0897259	Kirsi Vikman	My Sailor, My Love
nm3040935	Silvia Silvani	My Wife, a Body to Love, The Pacifist
